Category,Sentence,Pattern,Highlights
Questions,"Tá de brincadeira, né?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Tá de brincadeira, né?",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Como você não é capaz de amar suas próprias filhas.,Subject + verb (present),"{""verbs"": [""Como""]}"
To be (ser/estar),Como você não é capaz de amar suas próprias filhas.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,Como você não é capaz de amar suas próprias filhas.,não + verb,"{""special"": [""não"", ""é""]}"
Questions,Como você não é capaz de amar suas próprias filhas.,Question word + aux + subject + verb,"{""special"": [""como""]}"
Possessives,Como você não é capaz de amar suas próprias filhas.,possessive + noun,"{""special"": [""suas""]}"
Prepositions,Como você não é capaz de amar suas próprias filhas.,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,"Ah, mas essa agora.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Past simple,Isso foi impressionante.,Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),Isso foi impressionante.,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Present simple,Esse episódio se chama Cosseguinhas de Caranguejo.,Subject + verb (present),"{""verbs"": [""chama""]}"
Prepositions,Esse episódio se chama Cosseguinhas de Caranguejo.,noun + preposition + noun,"{""special"": [""de""]}"
Questions,Que lindo dia de praia.,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Que lindo dia de praia.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Um pouco sozinho é claro, mas maravilhoso.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Um pouco sozinho é claro, mas maravilhoso.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Connecting words,"Um pouco sozinho é claro, mas maravilhoso.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Numbers,"Um pouco sozinho é claro, mas maravilhoso.",noun + verb + number + noun,"{""special"": [""um""]}"
Numbers,Seria melhor se tivesse um amor verdadeiro pra compartilhar.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Agora é hora de voltar pra minha casa vazia.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Agora é hora de voltar pra minha casa vazia.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,Agora é hora de voltar pra minha casa vazia.,possessive + noun,"{""special"": [""minha""]}"
Prepositions,Agora é hora de voltar pra minha casa vazia.,noun + preposition + noun,"{""special"": [""de""]}"
Personal information,Agora é hora de voltar pra minha casa vazia.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Eu vou dar a volta e pegar a minha toalha.,Subject + verb (present),"{""verbs"": [""vou""]}"
Possessives,Eu vou dar a volta e pegar a minha toalha.,possessive + noun,"{""special"": [""minha""]}"
Prepositions,Eu vou dar a volta e pegar a minha toalha.,noun + preposition + noun,"{""special"": [""a"", ""a""]}"
Connecting words,Eu vou dar a volta e pegar a minha toalha.,clause + and/but/because + clause,"{""special"": [""e""]}"
Questions,Não sacudir a areia?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Não sacudir a areia?,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Agora vou pra casa.,Subject + verb (present),"{""verbs"": [""vou""]}"
Questions,"Cadê você, meu verdadeiro amor?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,"Cadê você, meu verdadeiro amor?",possessive + noun,"{""special"": [""meu""]}"
Present simple,Por que você não vem pra mim?,Subject + verb (present),"{""verbs"": [""vem""]}"
Negation,Por que você não vem pra mim?,não + verb,"{""special"": [""não"", ""vem""]}"
Questions,Por que você não vem pra mim?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Por que você não vem pra mim?,noun + preposition + noun,"{""special"": [""por""]}"
Connecting words,"Ah, Lar, doce e solitário Lar.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"Beleza, hora do cochilo.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Beleza, hora do cochilo.",noun + preposition + noun,"{""special"": [""do""]}"
Possessives,Talvez eu sonhe com meu verdadeiro amor.,possessive + noun,"{""special"": [""meu""]}"
Prepositions,Talvez eu sonhe com meu verdadeiro amor.,noun + preposition + noun,"{""special"": [""com""]}"
Past simple,O que foi isso?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),O que foi isso?,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Questions,O que foi isso?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,Devo ter sonhado com coceguinhas.,Subject + verb (present),"{""verbs"": [""Devo""]}"
Modal verbs,Devo ter sonhado com coceguinhas.,pronouns + dever + verb,"{""special"": [""Devo""]}"
Prepositions,Devo ter sonhado com coceguinhas.,noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Podemos brincar com isso.,Subject + verb (present),"{""verbs"": [""Podemos""]}"
Modal verbs,Podemos brincar com isso.,pronouns + poder + verb,"{""special"": [""Podemos""]}"
Prepositions,Podemos brincar com isso.,noun + preposition + noun,"{""special"": [""com""]}"
Prepositions,Fiquem à vontade.,noun + preposition + noun,"{""special"": [""à""]}"
Present simple,Finge que isso é água.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Finge que isso é água.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Present simple,"É, e são os peixes.",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É, e são os peixes.",Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Connecting words,"É, e são os peixes.",clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Finge que eu sou a mamãe peixe e você é o bebê peixe.,Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),Finge que eu sou a mamãe peixe e você é o bebê peixe.,Subject + ser/estar + noun/adjective,"{""special"": [""sou"", ""é""]}"
Prepositions,Finge que eu sou a mamãe peixe e você é o bebê peixe.,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,Finge que eu sou a mamãe peixe e você é o bebê peixe.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,O cachorro do manual não fala pra deixar o papelão por baixo?,Subject + verb (present),"{""verbs"": [""do""]}"
Negation,O cachorro do manual não fala pra deixar o papelão por baixo?,não + verb,"{""special"": [""não"", ""fala""]}"
Questions,O cachorro do manual não fala pra deixar o papelão por baixo?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,O cachorro do manual não fala pra deixar o papelão por baixo?,noun + preposition + noun,"{""special"": [""do"", ""por""]}"
Present simple,Não aceito o conselho de um cachorro de manual.,Subject + verb (present),"{""verbs"": [""aceito""]}"
Negation,Não aceito o conselho de um cachorro de manual.,não + verb,"{""special"": [""não"", ""aceito""]}"
Prepositions,Não aceito o conselho de um cachorro de manual.,noun + preposition + noun,"{""special"": [""de"", ""de""]}"
Numbers,Não aceito o conselho de um cachorro de manual.,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Uh, finge que isso é terra.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Uh, finge que isso é terra.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Present simple,E finge que a gente é sapo.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),E finge que a gente é sapo.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,E finge que a gente é sapo.,noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,E finge que a gente é sapo.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"É, sapo-chorro.",Subject + verb (present),"{""verbs"": [""É""]}"
Present simple,"É, mas finge que ainda é meu bebê sapo-chorro.",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É, mas finge que ainda é meu bebê sapo-chorro.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,"É, mas finge que ainda é meu bebê sapo-chorro.",possessive + noun,"{""special"": [""meu""]}"
Connecting words,"É, mas finge que ainda é meu bebê sapo-chorro.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Adverbs of frequency,"É, mas finge que ainda é meu bebê sapo-chorro.",Subject + adverb + verb,"{""special"": [""ainda""]}"
Present simple,É melhor fingir que eu virei um sapo-chorro criança.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É melhor fingir que eu virei um sapo-chorro criança.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É melhor fingir que eu virei um sapo-chorro criança.,noun + verb + number + noun,"{""special"": [""um""]}"
Comparatives,É melhor fingir que eu virei um sapo-chorro criança.,adjective + mais/menos + que,"{""special"": [""melhor""]}"
Personal information,É melhor fingir que eu virei um sapo-chorro criança.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,A parte brilhante não tem que ficar pra cima?,Subject + verb (present),"{""verbs"": [""parte""]}"
Negation,A parte brilhante não tem que ficar pra cima?,não + verb,"{""special"": [""não"", ""tem""]}"
Questions,A parte brilhante não tem que ficar pra cima?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,A parte brilhante não tem que ficar pra cima?,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Acho que não tem problema.,Subject + verb (present),"{""verbs"": [""Acho""]}"
Negation,Acho que não tem problema.,não + verb,"{""special"": [""não"", ""tem""]}"
Present simple,Acho que tem.,Subject + verb (present),"{""verbs"": [""Acho""]}"
Present simple,Vamos usar isso desse jeito.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,"É, podemos ser lagartixas.",Subject + verb (present),"{""verbs"": [""É""]}"
Modal verbs,"É, podemos ser lagartixas.",pronouns + poder + verb,"{""special"": [""podemos""]}"
Present simple,Lagartixas fazem assim.,Subject + verb (present),"{""verbs"": [""fazem""]}"
Present simple,Vamos fingir que tem moscas.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,"E eu te ensino a pegar elas, porque eu sou a mamãe lagartixa.",Subject + verb (present),"{""verbs"": [""ensino""]}"
To be (ser/estar),"E eu te ensino a pegar elas, porque eu sou a mamãe lagartixa.",Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Prepositions,"E eu te ensino a pegar elas, porque eu sou a mamãe lagartixa.",noun + preposition + noun,"{""special"": [""a"", ""a""]}"
Connecting words,"E eu te ensino a pegar elas, porque eu sou a mamãe lagartixa.",clause + and/but/because + clause,"{""special"": [""e"", ""porque""]}"
Questions,"Segurou, Taffy?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Past simple,Eu pedi desculpa.,Pronouns + verb (past),"{""verbs"": [""pedi""]}"
Present simple,"Bom, foi por isso que o cachorro do manual disse pra colocar o papelão por baixo.",Subject + verb (present),"{""verbs"": [""do""]}"
Past simple,"Bom, foi por isso que o cachorro do manual disse pra colocar o papelão por baixo.",Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),"Bom, foi por isso que o cachorro do manual disse pra colocar o papelão por baixo.",Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Prepositions,"Bom, foi por isso que o cachorro do manual disse pra colocar o papelão por baixo.",noun + preposition + noun,"{""special"": [""por"", ""do"", ""por""]}"
Questions,E ela?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Connecting words,E ela?,clause + and/but/because + clause,"{""special"": [""e""]}"
Past simple,Claro que a culpa foi minha.,Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),Claro que a culpa foi minha.,Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Prepositions,Claro que a culpa foi minha.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Lagartixas não nadam!,Subject + verb (present),"{""verbs"": [""nadam""]}"
Negation,Lagartixas não nadam!,não + verb,"{""special"": [""não"", ""nadam""]}"
Present simple,É só fingir que somos peixes de novo.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É só fingir que somos peixes de novo.,Subject + ser/estar + noun/adjective,"{""special"": [""é"", ""somos""]}"
Prepositions,É só fingir que somos peixes de novo.,noun + preposition + noun,"{""special"": [""de""]}"
Personal information,É só fingir que somos peixes de novo.,I + verb + personal detail,"{""special"": [""é""]}"
Adverbs of frequency,É só fingir que somos peixes de novo.,Subject + adverb + verb,"{""special"": [""só""]}"
Past simple,"Não, já fizemos isso.",Pronouns + verb (past),"{""verbs"": [""fizemos""]}"
Adverbs of frequency,"Não, já fizemos isso.",Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,"Tá bom, vou por aqui.",Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,"Tá bom, vou por aqui.",noun + preposition + noun,"{""special"": [""por""]}"
Present simple,"Sai da frente, papelão.",Subject + verb (present),"{""verbs"": [""da""]}"
Past simple,"Sai da frente, papelão.",Pronouns + verb (past),"{""verbs"": [""Sai""]}"
Prepositions,"Sai da frente, papelão.",noun + preposition + noun,"{""special"": [""da""]}"
Present simple,Vamos sentir que isso é um vulcão!,Subject + verb (present),"{""verbs"": [""Vamos""]}"
To be (ser/estar),Vamos sentir que isso é um vulcão!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,Vamos sentir que isso é um vulcão!,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,E podemos sentir dinossauros!,Subject + verb (present),"{""verbs"": [""podemos""]}"
Modal verbs,E podemos sentir dinossauros!,pronouns + poder + verb,"{""special"": [""podemos""]}"
Connecting words,E podemos sentir dinossauros!,clause + and/but/because + clause,"{""special"": [""e""]}"
Numbers,2 T-Rex!,noun + verb + number + noun,"{""special"": [""2""]}"
Present simple,Eu sou a mãe T-Rex!,Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),Eu sou a mãe T-Rex!,Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Prepositions,Eu sou a mãe T-Rex!,noun + preposition + noun,"{""special"": [""a""]}"
Personal information,Eu sou a mãe T-Rex!,I + verb + personal detail,"{""special"": [""sou""]}"
Present simple,"Tá, vou dar uma martelada só.",Subject + verb (present),"{""verbs"": [""vou""]}"
Numbers,"Tá, vou dar uma martelada só.",noun + verb + number + noun,"{""special"": [""uma""]}"
Possessives,Cuidado com meu Au!,possessive + noun,"{""special"": [""meu""]}"
Prepositions,Cuidado com meu Au!,noun + preposition + noun,"{""special"": [""com""]}"
Present simple,"Vai, bingo!",Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,"Rápido, voa!",Subject + verb (present),"{""verbs"": [""voa""]}"
Present simple,Então somos passarinhos!,Subject + verb (present),"{""verbs"": [""somos""]}"
To be (ser/estar),Então somos passarinhos!,Subject + ser/estar + noun/adjective,"{""special"": [""somos""]}"
Connecting words,Então somos passarinhos!,clause + and/but/because + clause,"{""special"": [""então""]}"
Present simple,O que vamos ser?,Subject + verb (present),"{""verbs"": [""vamos""]}"
Questions,O que vamos ser?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,Eu vou ser um leão do circo!,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Eu vou ser um leão do circo!,noun + preposition + noun,"{""special"": [""do""]}"
Numbers,Eu vou ser um leão do circo!,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,E eu vou correr bem rápido de volta para a selva!,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,E eu vou correr bem rápido de volta para a selva!,noun + preposition + noun,"{""special"": [""de"", ""para"", ""a""]}"
Connecting words,E eu vou correr bem rápido de volta para a selva!,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Então eu vou ser o domador de leão!,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Então eu vou ser o domador de leão!,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,Então eu vou ser o domador de leão!,clause + and/but/because + clause,"{""special"": [""então""]}"
Present simple,E eu vou ser muito mau!,Subject + verb (present),"{""verbs"": [""vou""]}"
Connecting words,E eu vou ser muito mau!,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,E por isso você vai querer fugir!,Subject + verb (present),"{""verbs"": [""vai""]}"
Prepositions,E por isso você vai querer fugir!,noun + preposition + noun,"{""special"": [""por""]}"
Connecting words,E por isso você vai querer fugir!,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Eu vou ser acrobata!,Subject + verb (present),"{""verbs"": [""vou""]}"
Present simple,E vou ser casada domador de leão!,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,E vou ser casada domador de leão!,noun + preposition + noun,"{""special"": [""de""]}"
Connecting words,E vou ser casada domador de leão!,clause + and/but/because + clause,"{""special"": [""e""]}"
Questions,"Peraí, o quê?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Eu vou ser a plateia e isso a minha pipoca.,Subject + verb (present),"{""verbs"": [""vou""]}"
Possessives,Eu vou ser a plateia e isso a minha pipoca.,possessive + noun,"{""special"": [""minha""]}"
Prepositions,Eu vou ser a plateia e isso a minha pipoca.,noun + preposition + noun,"{""special"": [""a"", ""a""]}"
Connecting words,Eu vou ser a plateia e isso a minha pipoca.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Eu vou ser a apresentadora.,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Eu vou ser a apresentadora.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,Ela é a chefe de todo mundo.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Ela é a chefe de todo mundo.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,Ela é a chefe de todo mundo.,noun + preposition + noun,"{""special"": [""a"", ""de""]}"
Personal information,Ela é a chefe de todo mundo.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Tá, mas eu sou a plateia.",Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),"Tá, mas eu sou a plateia.",Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Prepositions,"Tá, mas eu sou a plateia.",noun + preposition + noun,"{""special"": [""a""]}"
Connecting words,"Tá, mas eu sou a plateia.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Você não pode me dizer o que fazer.,Subject + verb (present),"{""verbs"": [""pode""]}"
Negation,Você não pode me dizer o que fazer.,não + verb,"{""special"": [""não"", ""pode""]}"
Present simple,Tem razão.,Subject + verb (present),"{""verbs"": [""Tem""]}"
Personal information,Tem razão.,I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,Vamos começar.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Present simple,Preciso de mais pipoca.,Subject + verb (present),"{""verbs"": [""Preciso""]}"
Prepositions,Preciso de mais pipoca.,noun + preposition + noun,"{""special"": [""de""]}"
Prepositions,De novo não.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Ô, Hércules, eu posso ser o piloto da moto agora?",Subject + verb (present),"{""verbs"": [""posso""]}"
Modal verbs,"Ô, Hércules, eu posso ser o piloto da moto agora?",pronouns + poder + verb,"{""special"": [""posso""]}"
Questions,"Ô, Hércules, eu posso ser o piloto da moto agora?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Ô, Hércules, eu posso ser o piloto da moto agora?",noun + preposition + noun,"{""special"": [""da""]}"
Present simple,"Não, você é o obstáculo.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Não, você é o obstáculo.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"Não, você é o obstáculo.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Seu obstáculo é chato.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Seu obstáculo é chato.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,Seu obstáculo é chato.,possessive + noun,"{""special"": [""seu""]}"
Personal information,Seu obstáculo é chato.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Foi isso que eu falei ou não vai brincar mais, tá bom?",Subject + verb (present),"{""verbs"": [""vai""]}"
Past simple,"Foi isso que eu falei ou não vai brincar mais, tá bom?",Pronouns + verb (past),"{""verbs"": [""Foi""]}"
To be (ser/estar),"Foi isso que eu falei ou não vai brincar mais, tá bom?",Subject + ser/estar + noun/adjective,"{""special"": [""foi""]}"
Negation,"Foi isso que eu falei ou não vai brincar mais, tá bom?",não + verb,"{""special"": [""não"", ""vai""]}"
Questions,"Foi isso que eu falei ou não vai brincar mais, tá bom?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Connecting words,"Foi isso que eu falei ou não vai brincar mais, tá bom?",clause + and/but/because + clause,"{""special"": [""ou""]}"
Connecting words,"Muito bem, senhoras e senhores.",clause + and/but/because + clause,"{""special"": [""e""]}"
Prepositions,Bem-vindos ao circo.,noun + preposition + noun,"{""special"": [""ao""]}"
Present simple,Nosso primeiro ato será O que eu devo apresentar?,Subject + verb (present),"{""verbs"": [""devo""]}"
Modal verbs,Nosso primeiro ato será O que eu devo apresentar?,pronouns + dever + verb,"{""special"": [""devo""]}"
Questions,Nosso primeiro ato será O que eu devo apresentar?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Possessives,Nosso primeiro ato será O que eu devo apresentar?,possessive + noun,"{""special"": [""nosso""]}"
Present simple,O nosso primeiro ato será o pulo do leão pelo arco.,Subject + verb (present),"{""verbs"": [""do""]}"
Possessives,O nosso primeiro ato será o pulo do leão pelo arco.,possessive + noun,"{""special"": [""nosso""]}"
Prepositions,O nosso primeiro ato será o pulo do leão pelo arco.,noun + preposition + noun,"{""special"": [""do""]}"
Present simple,Vem pegar o petisco.,Subject + verb (present),"{""verbs"": [""Vem""]}"
Present simple,"Não, você é um domador malvado, lembra?",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Não, você é um domador malvado, lembra?",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,"Não, você é um domador malvado, lembra?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Numbers,"Não, você é um domador malvado, lembra?",noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,"Não, você é um domador malvado, lembra?",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Ah é, eu esqueci.",Subject + verb (present),"{""verbs"": [""é""]}"
Past simple,"Ah é, eu esqueci.",Pronouns + verb (past),"{""verbs"": [""esqueci""]}"
Possessives,"Pula, seu leão bobo!",possessive + noun,"{""special"": [""seu""]}"
Prepositions,Seja bonzinho com o leão marido.,noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Eu não sou seu marido!,Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),Eu não sou seu marido!,Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Negation,Eu não sou seu marido!,não + verb,"{""special"": [""não"", ""sou""]}"
Possessives,Eu não sou seu marido!,possessive + noun,"{""special"": [""seu""]}"
Personal information,Eu não sou seu marido!,I + verb + personal detail,"{""special"": [""sou""]}"
Present simple,Você não ganha petisco.,Subject + verb (present),"{""verbs"": [""ganha""]}"
Negation,Você não ganha petisco.,não + verb,"{""special"": [""não"", ""ganha""]}"
Present simple,"Blu, o Mackenzie não quer fingir que é meu marido.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Blu, o Mackenzie não quer fingir que é meu marido.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,"Blu, o Mackenzie não quer fingir que é meu marido.",possessive + noun,"{""special"": [""meu""]}"
Present simple,"Mackenzie, pode fingir que você é o marido da Cacau?",Subject + verb (present),"{""verbs"": [""pode""]}"
To be (ser/estar),"Mackenzie, pode fingir que você é o marido da Cacau?",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Modal verbs,"Mackenzie, pode fingir que você é o marido da Cacau?",pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,"Mackenzie, pode fingir que você é o marido da Cacau?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,"Mackenzie, pode fingir que você é o marido da Cacau?",noun + preposition + noun,"{""special"": [""da""]}"
Present simple,Mas eu não quero fazer isso.,Subject + verb (present),"{""verbs"": [""quero""]}"
Modal verbs,Mas eu não quero fazer isso.,pronouns + querer + verb,"{""special"": [""quero""]}"
Negation,Mas eu não quero fazer isso.,não + verb,"{""special"": [""não"", ""quero""]}"
Connecting words,Mas eu não quero fazer isso.,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Você pode mandar nele?,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Você pode mandar nele?,pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,Você pode mandar nele?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,"É, se ele não quer, a Blu não pode mandar.",Subject + verb (present),"{""verbs"": [""É""]}"
Modal verbs,"É, se ele não quer, a Blu não pode mandar.",pronouns + poder + verb,"{""special"": [""pode""]}"
Negation,"É, se ele não quer, a Blu não pode mandar.",não + verb,"{""special"": [""não"", ""pode""]}"
Prepositions,"É, se ele não quer, a Blu não pode mandar.",noun + preposition + noun,"{""special"": [""a""]}"
Present simple,O que você está lendo?,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),O que você está lendo?,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Gerund,O que você está lendo?,be + verb-ing,"{""verbs"": [""lendo""]}"
Questions,O que você está lendo?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,Eu estou lendo artigos sobre polvos.,Subject + verb (present),"{""verbs"": [""estou""]}"
To be (ser/estar),Eu estou lendo artigos sobre polvos.,Subject + ser/estar + noun/adjective,"{""special"": [""estou""]}"
Present continuous,Eu estou lendo artigos sobre polvos.,estar + verb-ing,"{""verbs"": [""lendo""]}"
Prepositions,Eu estou lendo artigos sobre polvos.,noun + preposition + noun,"{""special"": [""sobre""]}"
Present simple,Para quê?,Subject + verb (present),"{""verbs"": [""Para""]}"
Questions,Para quê?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Para quê?,noun + preposition + noun,"{""special"": [""para""]}"
Present simple,"Bom, eu pensei que poderia me ajudar na brincadeira do polvo.",Subject + verb (present),"{""verbs"": [""do""]}"
Prepositions,"Bom, eu pensei que poderia me ajudar na brincadeira do polvo.",noun + preposition + noun,"{""special"": [""na"", ""do""]}"
Present simple,"Na verdade, os polvos são bem inteligentes.",Subject + verb (present),"{""verbs"": [""são""]}"
To be (ser/estar),"Na verdade, os polvos são bem inteligentes.",Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Prepositions,"Na verdade, os polvos são bem inteligentes.",noun + preposition + noun,"{""special"": [""na""]}"
Present simple,É sério?,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É sério?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,É sério?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Personal information,É sério?,I + verb + personal detail,"{""special"": [""é""]}"
To be (ser/estar),E você estava certa.,Subject + ser/estar + noun/adjective,"{""special"": [""estava""]}"
Connecting words,E você estava certa.,clause + and/but/because + clause,"{""special"": [""e""]}"
Past simple,"Eles coletam tesouros, viu?",Pronouns + verb (past),"{""verbs"": [""viu""]}"
Questions,"Eles coletam tesouros, viu?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Eles coletam objetos para deixar as casas mais fortes.,Subject + verb (present),"{""verbs"": [""para""]}"
Prepositions,Eles coletam objetos para deixar as casas mais fortes.,noun + preposition + noun,"{""special"": [""para""]}"
Prepositions,"Então, desculpa por falar que você não sabia.",noun + preposition + noun,"{""special"": [""por""]}"
Present simple,Desculpe falar que o pai da Bluey era mais divertido que você.,Subject + verb (present),"{""verbs"": [""da""]}"
